zip_code,fips_code,yyyymm,underwater
30013,13247,200912,.35641438
30013,13247,201001,.37050456
30013,13247,201002,.39488244
30013,13247,201003,.40929204
30013,13247,201004,.40099558
30013,13247,201005,.39256084
30013,13247,201006,.38437068
30013,13247,201007,.38796681
30013,13247,201008,.39156294
30013,13247,201009,.39502075
30013,13247,201010,.40511757
30013,13247,201011,.41479945
30013,13247,201012,.42489627
30013,13247,201101,.42531121
30013,13247,201102,.42558783
30013,13247,201103,.42600277
30013,13247,201104,.42918396
30013,13247,201105,.43236515
30013,13247,201106,.43554634
30013,13247,201107,.41570625
30013,13247,201108,.40940768
30013,13247,201109,.40337712
30013,13247,201110,.4293755
30013,13247,201111,.4502722
30013,13247,201112,.47584283
30013,13247,201201,.45633131
30013,13247,201202,.43814707
30013,13247,201203,.41863552
30013,13247,201204,.42487392
30013,13247,201205,.43151048
30013,13247,201206,.43711066
30013,13247,201207,.4355202
30013,13247,201208,.43373972
30013,13247,201209,.43226406
30013,13247,201210,.4276813
30013,13247,201211,.42304122
30013,13247,201212,.41840115
30013,13247,201301,.42012462
30013,13247,201302,.42177141
30013,13247,201303,.4191601
30013,13247,201304,.38213301
30013,13247,201305,.34409025
30013,13247,201306,.30722812
30013,13247,201307,.29358521
30013,13247,201308,.2798478
30013,13247,201309,.2665967
30013,13247,201310,.2647599
30013,13247,201311,.26285416
30013,13247,201312,.26040304
30013,13247,201401,.25330541
30013,13247,201402,.24676004
30013,13247,201403,.23959151
30013,13247,201404,.22361875
30013,13247,201405,.20712228
30013,13247,201406,.19114952
30013,13247,201407,.17282011
30013,13247,201408,.15449071
30013,13247,201409,.1367029
30013,13247,201410,.1367029
30013,13247,201411,.1367029
30013,13247,201412,.13565488
30013,13247,201501,.12290303
30013,13247,201502,.12183224
30013,13247,201503,.1205235
30013,13247,201504,.11000238
30013,13247,201505,.099441603
30013,13247,201506,.088946871
30013,13247,201507,.086574949
30013,13247,201508,.084193051
30013,13247,201509,.081821419
30013,13247,201510,.082058579
30013,13247,201511,.080553293
30013,13247,201512,.080785774
30013,13247,201601,.077298619
30013,13247,201602,.073936291
30013,13247,201603,.070448734
30013,13247,201604,.064287372
30013,13247,201605,.057873331
30013,13247,201606,.051714119
30013,13247,201607,.04890231
30013,13247,201608,.046230689
30013,13247,201609,.043569189
30013,13247,201610,.042755898
30013,13247,201611,.041971862
30013,13247,201612,.041153219
30013,13247,201701,.040227879
30013,13247,201702,.039404858
30013,13247,201703,.038470481
30013,13247,201704,.036008827
30013,13247,201705,.033325594
30013,13247,201706,.030887134
30013,13247,201707,.02751974
30013,13247,201708,.024152346
30013,13247,201709,.020901069
30013,13247,201710,.019619225
30013,13247,201711,.018265896
30013,13247,201712,.016994219
30013,13247,201801,.018038852
30013,13247,201802,.018848289
30013,13247,201803,.019888991
30013,13247,201804,.018728323
30013,13247,201805,.01745463
30013,13247,201806,.016298695
30013,13247,201807,.015951913
30013,13247,201808,.015605132
30013,13247,201809,.015258351
30013,13247,201810,.014218009
30013,13247,201811,.013293261
30013,13247,201812,.012281312
30013,13247,201901,.013093859
30013,13247,201902,.013871228
30013,13247,201903,.014680384
30013,13247,201904,.014831982
30013,13247,201905,.015027164
30013,13247,201906,.015142758
30014,13217,200909,.16875045
30014,13217,200910,.18595071
30014,13217,200911,.20264508
30014,13217,200912,.21984534
30014,13217,201001,.22671099
30014,13217,201002,.2779167
30014,13217,201003,.28600982
30014,13217,201004,.28135505
30014,13217,201005,.27644169
30014,13217,201006,.27178693
30014,13217,201007,.26808032
30014,13217,201008,.26428756
30014,13217,201009,.26066718
30014,13217,201010,.27299371
30014,13217,201011,.28480303
30014,13217,201012,.29712957
30014,13217,201101,.29204378
30014,13217,201102,.28756142
30014,13217,201103,.28247565
30014,13217,201104,.28066546
30014,13217,201105,.27868286
30014,13217,201106,.27687269
30014,13217,201107,.26517218
30014,13217,201108,.25664848
30014,13217,201109,.24829526
30014,13217,201110,.25409138
30014,13217,201111,.25967273
30014,13217,201112,.26544526
30014,13217,201201,.26536003
30014,13217,201202,.26536003
30014,13217,201203,.26527482
30014,13217,201204,.25332311
30014,13217,201205,.24084172
30014,13217,201206,.22551405
30014,13217,201207,.22509442
30014,13217,201208,.22475871
30014,13217,201209,.22428259
30014,13217,201210,.21908039
30014,13217,201211,.21392034
30014,13217,201212,.20872118
30014,13217,201301,.20726083
30014,13217,201302,.20608702
30014,13217,201303,.20462738
30014,13217,201304,.18043998
30014,13217,201305,.15903099
30014,13217,201306,.13836011
30014,13217,201307,.13076168
30014,13217,201308,.12438706
