state_name,county_name,zip_code,share_of_homes_in_negative_equity
Virginia,Culpeper,22726,0.08070175349712372
Illinois,Madison,62090,0.08059701323509216
Massachusetts,Plymouth,02301,0.08050333708524704
Connecticut,Fairfield,06850,0.08048820495605469
New Jersey,Passaic,07501,0.0804004818201065
California,Riverside,92282,0.0803571417927742
Iowa,Lyon,51240,0.08028168976306915
Georgia,Fulton,30314,0.08022107183933258
California,Alameda,94603,0.08019310981035233
Maryland,Allegany,21543,0.07999999821186066
Connecticut,New London,06353,0.07999999821186066
New York,Queens,11436,0.07992296665906906
California,Fresno,93706,0.07989727705717087
Connecticut,Windham,06255,0.0798833817243576
Arizona,Maricopa,85301,0.0798439309000969
Massachusetts,Hampden,01119,0.07983623445034027
Florida,Polk,34759,0.07967980206012726
New York,Suffolk,11706,0.07953253388404846
Virginia,Newport News City,23603,0.07953216135501862
Delaware,New Castle,19801,0.07941099256277084
Maryland,Baltimore,21052,0.07926829159259796
Massachusetts,Worcester,01607,0.0791819617152214
Iowa,Dubuque,52078,0.07902735471725464
Connecticut,Litchfield,06786,0.0790238231420517
Ohio,Cuyahoga,44125,0.07901008427143097
New York,Suffolk,11717,0.07890334725379944
Connecticut,Litchfield,06750,0.078899085521698
California,Solano,94590,0.07885926961898804
California,Fresno,93701,0.07885514199733734
California,Yolo,95605,0.07883165776729584
Illinois,Cook,60130,0.07881888002157211
Illinois,Cook,60643,0.07878571003675461
New Jersey,Union,07065,0.07861208915710449
New Jersey,Middlesex,07008,0.0785411074757576
Maryland,Harford,21001,0.07853906601667404
Connecticut,Fairfield,06810,0.07853689044713974
Maryland,Worcester,21872,0.0784313753247261
New Jersey,Sussex,07416,0.07842046767473221
Connecticut,New Haven,06418,0.07841140776872635
Nevada,Clark,89110,0.07839365303516388
Maryland,Wicomico,21801,0.07835400104522705
Florida,Lake,34753,0.07832512259483337
Ohio,Franklin,43205,0.07829560339450836
New Jersey,Passaic,07513,0.07822085916996002
Michigan,Oakland,48034,0.07821699231863022
Missouri,Jefferson,63070,0.07811764627695084
Illinois,Cook,60164,0.07806691527366638
Iowa,Van Buren,52630,0.07792207598686218
Maryland,Baltimore City,21224,0.0779145285487175
California,San Bernardino,92410,0.0777292549610138
Pennsylvania,Mercer,16311,0.0776699036359787
Connecticut,New London,06330,0.0775047242641449
New Jersey,Cumberland,08302,0.07750149816274643
Florida,Lee,33972,0.07750000059604645
New Jersey,Bergen,07603,0.0774889662861824
Connecticut,Windham,06234,0.07743857055902481
Michigan,Oakland,48075,0.07740341126918793
Nebraska,Lancaster,68532,0.07734806835651398
Louisiana,Saint Tammany,70431,0.07732447981834412
Illinois,Kankakee,60935,0.07730673253536224
Louisiana,Tangipahoa,70403,0.07727593183517456
California,Kern,93305,0.07710904628038406
Illinois,Cook,60609,0.07709889113903046
Ohio,Hamilton,45217,0.07699275016784668
Illinois,Marion,62875,0.07692307978868484
Illinois,Whiteside,61251,0.07692307978868484
Pennsylvania,Northumberland,17840,0.07692307978868484
Idaho,Jefferson,83425,0.07692307978868484
New Jersey,Cumberland,08314,0.07692307978868484
Michigan,Oakland,48033,0.07678920775651932
Illinois,Cook,60176,0.07671398669481277
New Jersey,Bergen,07660,0.07670752704143524
Illinois,Madison,62061,0.0765957459807396
Florida,Sarasota,34288,0.07657120376825333
Florida,Miami-Dade,33170,0.07636566460132599
Ohio,Hamilton,45231,0.076082743704319
Florida,Broward,33313,0.07600336521863937
New York,Queens,11433,0.07597949355840683
Illinois,Whiteside,61250,0.07596253603696823
Nevada,Clark,89104,0.07578740268945694
New York,Rockland,10993,0.07577092200517654
Ohio,Hamilton,45240,0.07567251473665237
Delaware,New Castle,19720,0.07564959675073624
Illinois,Kane,60140,0.07563751935958862
Pennsylvania,Centre,16826,0.075581394135952
Illinois,Cook,60659,0.07556396722793579
Illinois,Cook,60426,0.0755571648478508
Ohio,Cuyahoga,44146,0.0755523145198822
Maryland,Queen Annes,21668,0.07535641640424728
Iowa,Dallas,50003,0.0752052515745163
Iowa,Marion,50062,0.07508532702922821
Ohio,Cuyahoga,44135,0.07507053762674332
North Dakota,Steele,58046,0.07500000298023224
Florida,Pasco,33544,0.07490191608667374
Ohio,Hamilton,45216,0.07485604286193848
California,Riverside,92230,0.07475622743368149
Illinois,Cook,60418,0.07473108172416687
Florida,Palm Beach,33406,0.07472973316907883
Iowa,Poweshiek,52222,0.07471264153718948
Connecticut,New Haven,06515,0.07469600439071655
Rhode Island,Providence,02895,0.07459822297096252
New Jersey,Essex,07105,0.07451149076223373
New York,Suffolk,11722,0.07447093725204468
New Jersey,Union,07205,0.07432432472705841
Ohio,Hamilton,45238,0.07428072392940521
Florida,Osceola,34744,0.07419458031654358
Wisconsin,Waukesha,53046,0.07416880130767822
Virginia,Portsmouth City,23704,0.07413508743047714
Illinois,McLean,61737,0.07407407462596893
Florida,Hillsborough,33604,0.07395841926336288
Virginia,Prince William,22026,0.07392152398824692
Connecticut,Litchfield,06782,0.0738813728094101
Connecticut,Hartford,06002,0.0737864077091217
Ohio,Montgomery,45354,0.07377049326896667
Florida,Broward,33309,0.07370904088020325
Illinois,Randolph,62241,0.0736842080950737
Connecticut,New London,06340,0.07360861450433731
Illinois,Cook,60131,0.07347379624843597
New Jersey,Gloucester,08028,0.0733402818441391
Florida,Palm Beach,33470,0.073337122797966
Connecticut,New Haven,06708,0.07323568314313889
Florida,Collier,34117,0.07312826812267303
Massachusetts,Hampden,01104,0.073078252375125885
Connecticut,New Haven,06450,0.07299887388944626
Florida,Miami-Dade,33161,0.07299269735813141
Iowa,Scott,52728,0.07299269735813141
Maryland,Caroline,21639,0.07298772037029266
Illinois,Tazewell,61733,0.07296137511730194
Louisiana,East Baton Rouge,70816,0.0729520320892334
Iowa,Clay,51366,0.0729166641831398
Florida,Broward,33351,0.07276766002178192
Virginia,Orange,22433,0.072727270424366
Florida,Lee,33976,0.07272403687238693
Ohio,Cuyahoga,44120,0.07263120263814926
Maryland,Baltimore,21207,0.07241921871900558
Maryland,Frederick,21702,0.07239458709955215
Maryland,Harford,21160,0.07233502715826035
Maryland,Caroline,21632,0.07227769494056702
District of Columbia,District of Columbia,20032,0.07223919779062271
Iowa,Benton,52249,0.07204610854387283
Iowa,Boone,50223,0.07199999690055847
Rhode Island,Providence,02838,0.07199999690055847
Nebraska,Lancaster,68430,0.07199999690055847
New York,Ulster,12411,0.07194244861602783
