state_name,county_name,zip_code,pct_homes_negative_equity
New Jersey,Monmouth,07734,8.5
Rhode Island,Providence,02905,8.5
Florida,Duval,32244,8.49
Louisiana,Tangipahoa,70446,8.48
Illinois,Clinton,62218,8.48
New York,Putnam,12563,8.48
Connecticut,Hartford,06096,8.47
Maryland,Prince Georges,20744,8.46
Connecticut,Fairfield,06880,8.45
Connecticut,Fairfield,06614,8.44
California,Calaveras,95233,8.44
New York,Schenectady,12008,8.43
Connecticut,New Haven,06702,8.39
Florida,Miami-Dade,33126,8.36
Illinois,Cook,60621,8.35
Illinois,Cook,60070,8.34
Illinois,DeKalb,60556,8.33
Virginia,Rappahannock,22623,8.33
New Jersey,Burlington,08511,8.33
Michigan,Wayne,48174,8.31
New Jersey,Gloucester,08322,8.29
California,Fresno,93660,8.28
New Jersey,Burlington,08015,8.28
Louisiana,Tangipahoa,70442,8.28
Virginia,Portsmouth City,23701,8.26
Florida,Marion,34472,8.23
New Jersey,Mercer,08628,8.2
Iowa,Decatur,50103,8.2
Wisconsin,Lafayette,53803,8.18
Iowa,Jones,52212,8.18
California,Los Angeles,90301,8.18
Delaware,New Castle,19802,8.18
California,San Bernardino,92411,8.16
Florida,Miami-Dade,33030,8.16
Arizona,Pima,85714,8.15
Illinois,Cook,60628,8.15
Iowa,Clay,51343,8.15
Louisiana,Saint Tammany,70420,8.13
Maryland,Anne Arundel,20724,8.13
Oklahoma,Oklahoma,73103,8.12
Maryland,Montgomery,20876,8.12
Connecticut,Windham,06242,8.12
Iowa,Clayton,52156,8.11
Florida,Miami-Dade,33189,8.11
Arizona,Maricopa,85040,8.09
Maryland,Charles,20695,8.09
Virginia,Culpeper,22726,8.07
Illinois,Madison,62090,8.06
Massachusetts,Plymouth,02301,8.05
Connecticut,Fairfield,06850,8.05
New Jersey,Passaic,07501,8.04
California,Riverside,92282,8.04
Iowa,Lyon,51240,8.03
Georgia,Fulton,30314,8.02
California,Alameda,94603,8.02
Maryland,Allegany,21543,8
Connecticut,New London,06353,8
New York,Queens,11436,7.99
California,Fresno,93706,7.99
Connecticut,Windham,06255,7.99
Arizona,Maricopa,85301,7.98
Massachusetts,Hampden,01119,7.98
Florida,Polk,34759,7.97
New York,Suffolk,11706,7.95
Virginia,Newport News City,23603,7.95
Delaware,New Castle,19801,7.94
Maryland,Baltimore,21052,7.93
Massachusetts,Worcester,01607,7.92
Iowa,Dubuque,52078,7.9
Connecticut,Litchfield,06786,7.9
Ohio,Cuyahoga,44125,7.9
New York,Suffolk,11717,7.89
Connecticut,Litchfield,06750,7.89
California,Solano,94590,7.89
California,Fresno,93701,7.89
California,Yolo,95605,7.88
Illinois,Cook,60130,7.88
Illinois,Cook,60643,7.88
New Jersey,Union,07065,7.86
New Jersey,Middlesex,07008,7.85
Maryland,Harford,21001,7.85
Connecticut,Fairfield,06810,7.85
Maryland,Worcester,21872,7.84
New Jersey,Sussex,07416,7.84
Connecticut,New Haven,06418,7.84
Nevada,Clark,89110,7.84
Maryland,Wicomico,21801,7.84
Florida,Lake,34753,7.83
Ohio,Franklin,43205,7.83
New Jersey,Passaic,07513,7.82
Michigan,Oakland,48034,7.82
Missouri,Jefferson,63070,7.81
Illinois,Cook,60164,7.81
Iowa,Van Buren,52630,7.79
Maryland,Baltimore City,21224,7.79
California,San Bernardino,92410,7.77
Pennsylvania,Mercer,16311,7.77
Connecticut,New London,06330,7.75
New Jersey,Cumberland,08302,7.75
Florida,Lee,33972,7.75
New Jersey,Bergen,07603,7.75
Connecticut,Windham,06234,7.74
Michigan,Oakland,48075,7.74
Nebraska,Lancaster,68532,7.73
Louisiana,Saint Tammany,70431,7.73
Illinois,Kankakee,60935,7.73
Louisiana,Tangipahoa,70403,7.73
California,Kern,93305,7.71
Illinois,Cook,60609,7.71
Ohio,Hamilton,45217,7.7
Illinois,Marion,62875,7.69
Illinois,Whiteside,61251,7.69
Pennsylvania,Northumberland,17840,7.69
Idaho,Jefferson,83425,7.69
New Jersey,Cumberland,08314,7.69
Michigan,Oakland,48033,7.68
Illinois,Cook,60176,7.67
New Jersey,Bergen,07660,7.67
Illinois,Madison,62061,7.66
Florida,Sarasota,34288,7.66
Florida,Miami-Dade,33170,7.64
Ohio,Hamilton,45231,7.61
Florida,Broward,33313,7.6
New York,Queens,11433,7.6
Illinois,Whiteside,61250,7.6
Nevada,Clark,89104,7.58
New York,Rockland,10993,7.58
Ohio,Hamilton,45240,7.57
Delaware,New Castle,19720,7.56
Illinois,Kane,60140,7.56
Pennsylvania,Centre,16826,7.56
