Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Denton County,TX,Denton County,,2.125577066109008
County,Denver County,CO,Denver County,,0.2158159061262266
County,Des Moines County,IA,Des Moines County,,0.7761445003196199
County,Deschutes County,OR,Deschutes County,,3.7119699715094656
County,Dewitt County,IL,Dewitt County,,0.502322549557177
County,Dickens County,TX,Dickens County,,2.0917591420103854
County,Dickey County,ND,Dickey County,,4.036375041096285
County,Dickinson County,IA,Dickinson County,,1.4291086227199878
County,Dickinson County,KS,Dickinson County,,1.3048533438748455
County,Dickson County,TN,Dickson County,,7.865867744768451
County,District of Columbia,DC,District of Columbia,,-1.2892967705742775
County,Dixie County,FL,Dixie County,,1.3094774231185102
County,Dodge County,MN,Dodge County,,2.7801636438484767
County,Dodge County,NE,Dodge County,,2.2910937922294705
County,Dodge County,WI,Dodge County,,1.6790152161167304
County,Dona Ana County,NM,Dona Ana County,,0.9684669224713227
County,Doniphan County,KS,Doniphan County,,4.158058809868237
County,Dorchester County,MD,Dorchester County,,0.40461259715525166
County,Dorchester County,SC,Dorchester County,,3.7027588838652203
County,Douglas County,CO,Douglas County,,1.03418305895695
County,Douglas County,GA,Douglas County,,5.245169491319768
County,Douglas County,MN,Douglas County,,2.7228102455766567
County,Douglas County,NE,Douglas County,,2.6953065890618744
County,Douglas County,NV,Douglas County,,5.045431431307756
County,Douglas County,OR,Douglas County,,2.666772559886943
County,Douglas County,WA,Douglas County,,4.874321149618499
County,Douglas County,WI,Douglas County,,1.7832577924489224
County,DuPage County,IL,DuPage County,,0.28016059437661056
County,Dubois County,IN,Dubois County,,4.067142777987809
County,Dubuque County,IA,Dubuque County,,1.6221820972154966
County,Duchesne County,UT,Duchesne County,,3.802464462382127
County,Dunn County,WI,Dunn County,,4.21261129250603
County,Durham County,NC,Durham County,,3.7921816785208895
County,Dutchess County,NY,Dutchess County,,4.466712896464875
County,Duval County,FL,Duval County,,4.1115148116321665
County,Duval County,TX,Duval County,,-1.1398464646294904
County,Dyer County,TN,Dyer County,,5.464310726530219
County,Eagle County,CO,Eagle County,,0.5641942566968261
County,East Baton Rouge Parish,LA,East Baton Rouge Parish,,-0.62727448621267
County,East Carroll Parish,LA,East Carroll Parish,,0.1933041457051754
County,East Feliciana Parish,LA,East Feliciana Parish,,-2.114912109514777
County,Eaton County,MI,Eaton County,,2.381844447304715
County,Eau Claire County,WI,Eau Claire County,,2.5174000545856945
County,Ector County,TX,Ector County,,3.387044913667614
County,Edgefield County,SC,Edgefield County,,3.493332319890796
County,Effingham County,GA,Effingham County,,5.659139981329786
County,Effingham County,IL,Effingham County,,2.5958805440492005
County,El Dorado County,CA,El Dorado County,,0.6624227516911496
County,El Paso County,CO,El Paso County,,3.967426954957265
County,El Paso County,TX,El Paso County,,2.438310857367876
County,Elbert County,CO,Elbert County,,5.151508512576686
County,Elbert County,GA,Elbert County,,5.9102831371609765
County,Elk County,KS,Elk County,,-1.0581149771723863
County,Elkhart County,IN,Elkhart County,,2.2857208044364086
County,Ellis County,KS,Ellis County,,0.20183805590001658
County,Ellis County,TX,Ellis County,,4.484989620945368
County,Ellsworth County,KS,Ellsworth County,,-0.9436676364909635
County,Elmore County,AL,Elmore County,,0.44630523036308656
County,Elmore County,ID,Elmore County,,7.820278104606104
County,Emmet County,MI,Emmet County,,4.505135050431575
County,Emmons County,ND,Emmons County,,2.731624988978454
County,Erath County,TX,Erath County,,4.473016809155794
County,Erie County,NY,Erie County,,2.790050509419295
County,Erie County,OH,Erie County,,1.482883202924068
County,Erie County,PA,Erie County,,0.4477171251250356
County,Escambia County,FL,Escambia County,,5.495131015201671
County,Essex County,MA,Essex County,,1.3437622235044078
County,Essex County,NJ,Essex County,,0.5186327626546694
County,Essex County,NY,Essex County,,0.8277129549386419
County,Essex County,VA,Essex County,,1.686907118100378
