"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,2381,"Lawrence County","IN","Bedford",956,98800,0.00816326530612245,0.0334728033472803,0.0809628008752735,0.0735066571965908,0.0300230903991323,"2019-09","2019-Q3",98800,0,"2019-09"
2019-09-30,2172,"Campbell County","WY","Gillette",957,271800,0.00480591497227357,0.0172155688622754,0.0854632587859425,0.0219817729483547,0.0150438491788316,"2019-09","2019-Q3",271800,0,"2019-09"
2019-09-30,1562,"Buffalo County","NE","Kearney",958,212600,0.00901756051257712,0.0280464216634429,0.0896975909789851,0.0584946212903954,0.049452877102915,"2019-09","2019-Q3",212600,0,"2019-09"
2019-09-30,1880,"Lincoln County","OR","Newport",959,290000,0.00380754586362063,0.00904662491301322,0.0454217736121125,0.0742586265108742,0.0269880597885277,"2019-09","2019-Q3",290000,0,"2019-09"
2019-09-30,682,"Perry County","PA","Harrisburg-Carlisle",960,168500,0.00597014925373134,0.0243161094224924,0.0388409371146732,0.0324977004006033,0.0169006011847628,"2019-09","2019-Q3",168500,0,"2019-09"
2019-09-30,2134,"Auglaize County","OH","Wapakoneta",961,136100,0.0103934669636229,0.03813882532418,0.103811841038118,0.0670201118593829,0.0356284005611658,"2019-09","2019-Q3",136100,0,"2019-09"
2019-09-30,3285,"Saint John the Baptist Parish","LA","New Orleans-Metairie",962,134900,0.00671641791044776,0.0227445034116755,-0.0044280442804428,0.0102405226558189,0.00740960641249111,"2017-06","2017-Q2",139500,-0.0329749103942652,"2016-01"
2019-09-30,2938,"Huntingdon County","PA","Huntingdon",963,128500,0.00942655145326002,0.0263578274760383,0.0663900414937759,0.035179080034216,0.0165942828406114,"2019-09","2019-Q3",128500,0,"2019-09"
2019-09-30,851,"Barron County","WI",,964,151100,0.00867823765020027,0.0257976917854718,0.0693559801840057,0.0537484526924306,0.0243415810473475,"2019-09","2019-Q3",151100,0,"2019-09"
2019-09-30,611,"Logan County","OH","Bellefontaine",965,133300,0.00984848484848485,0.0245964642582629,0.0935192780968007,0.0570651503936308,0.0349987709911845,"2019-09","2019-Q3",133300,0,"2019-09"
2019-09-30,2827,"Pittsburg County","OK","McAlester",966,80300,0.00249687890137328,-0.0110837438423645,-0.0417661097852029,0.0403177921888898,0.012100303671299,"2018-11","2018-Q4",85200,-0.0575117370892019,"2018-03"
2019-09-30,1526,"Baldwin County","GA","Milledgeville",967,145700,0.00691085003455425,0.0210231254379818,0.156349206349206,0.0501099692103311,0.0121696969438199,"2019-09","2019-Q3",145700,0,"2019-09"
2019-09-30,1545,"Bingham County","ID","Blackfoot",968,215200,0.00749063670411985,0.0233000475511175,0.182417582417582,0.0972583490464833,0.05349175573349,"2019-09","2019-Q3",215200,0,"2019-09"
2019-09-30,2643,"Calaveras County","CA",,969,301500,-0.00132494203378602,-0.010177281680893,0.0244648318042813,0.0499405740184209,0.024839692681744,"2006-06","2006-Q2",388700,-0.224337535374325,"2004-09"
2019-09-30,2210,"Colquitt County","GA","Moultrie",970,91900,-0.00325379609544469,-0.00541125541125541,0.0302690582959641,0.0409252277057968,0.0156266258725686,"2019-03","2019-Q1",92800,-0.00969827586206897,"2018-11"
2019-09-30,781,"Vance County","NC","Henderson",971,93100,0.00648648648648649,0.03559510567297,0.0615735461801596,0.0252164658042233,-0.00409527083561667,"2006-12","2006-Q4",107100,-0.130718954248366,"2005-01"
2019-09-30,294,"Polk County","TX",,972,143600,0.000696864111498258,0.00560224089635854,0.00913562895291637,0.0584387937965161,0.0430625521340342,"2019-02","2019-Q1",146500,-0.0197952218430034,"2018-10"
2019-09-30,889,"Branch County","MI","Coldwater",973,108000,0.00934579439252336,0.0334928229665072,0.0876132930513595,0.0747952931434763,0.0309819663104545,"2019-09","2019-Q3",108000,0,"2019-09"
2019-09-30,2752,"Jefferson County","PA",,974,86200,0.00818713450292398,0.0129259694477086,0.0213270142180095,0.0186311290735035,0.017880997715747,"2016-04","2016-Q2",87000,-0.00919540229885057,"2016-02"
2019-09-30,1317,"Phelps County","MO","Rolla",975,139400,-0.00712250712250712,-0.00570613409415121,0.0341246290801187,0.0434406974107453,0.0156924706021,"2019-07","2019-Q3",140700,-0.00923951670220327,"2019-04"
2019-09-30,1113,"Itasca County","MN","Grand Rapids",976,158500,0.00316455696202532,0.0192926045016077,0.117771509167842,0.0611500410882133,0.0370143526070457,"2019-09","2019-Q3",158500,0,"2019-09"
2019-09-30,1537,"Bedford County","TN","Shelbyville",977,157000,0.00834938985228003,0.026814911706998,0.122230164403145,0.0979458229100443,0.0541004332337591,"2019-09","2019-Q3",157000,0,"2019-09"
2019-09-30,2558,"Stephens County","OK","Duncan",978,71200,0.00423131170662906,0.0229885057471264,0.103875968992248,0.0331060951044222,0.0177721580845591,"2019-09","2019-Q3",71200,0,"2019-09"
2019-09-30,2421,"McDowell County","NC","Marion",979,135100,0.00296956198960653,0.00296956198960653,0.000740740740740741,0.0576109079774776,0.0248446449585429,"2019-02","2019-Q1",139000,-0.0280575539568345,"2018-10"
2019-09-30,2548,"Siskiyou County","CA",,980,195500,0.00102406554019457,-0.00305966343702193,0.0625,0.0586828684268679,0.0212666698082469,"2006-08","2006-Q3",222700,-0.122137404580153,"2005-07"
2019-09-30,407,"Brown County","OH","Cincinnati",981,132800,0.0114242193450114,0.0334630350194553,0.080553295362083,0.0382026933556587,0.033738086391887,"2015-06","2015-Q2",140700,-0.0561478322672352,"2015-03"
2019-09-30,2093,"Whitman County","WA","Pullman",982,268100,0.00713749060856499,0.0217225609756098,0.0732586068855084,0.0688301255581907,,"2019-09","2019-Q3",268100,0,"2019-09"
2019-09-30,1430,"Thomas County","GA","Thomasville",983,125900,0.0120578778135048,0.0294358135731807,0.120106761565836,0.0484020685061863,0.022585489888358,"2019-09","2019-Q3",125900,0,"2019-09"
2019-09-30,1226,"Monroe County","TN",,984,136500,0.00812407680945347,0.030188679245283,0.0911270983213429,0.0832839569867114,0.043345432721374,"2019-09","2019-Q3",136500,0,"2019-09"
2019-09-30,2098,"Windham County","VT",,985,196200,0.00460829493087558,0.0197505197505198,0.0304621848739496,0.030541088549821,0.0041182680020373,"2019-09","2019-Q3",196200,0,"2019-09"
2019-09-30,262,"Ohio County","WV","Wheeling",986,102500,0.00490196078431373,0.0168650793650794,0.0427263479145473,0.0398705005665023,0.0267741191140942,"2019-09","2019-Q3",102500,0,"2019-09"
2019-09-30,2139,"Beltrami County","MN","Bemidji",987,167000,0.003003003003003,0.02203182374541,0.0972404730617608,0.0428445152775081,0.0271137938994792,"2019-09","2019-Q3",167000,0,"2019-09"
2019-09-30,1384,"Shelby County","IN","Indianapolis-Carmel-Anderson",988,150900,0.0209742895805142,0.0464632454923717,0.138009049773756,0.0606805025334622,0.0287098008284274,"2019-09","2019-Q3",150900,0,"2019-09"
2019-09-30,2166,"Callaway County","MO","Jefferson City",989,157400,0.00127226463104326,-0.0113065326633166,0.0102695763799743,0.0541822160422056,0.0288813677709809,"2019-04","2019-Q2",161200,-0.0235732009925558,"2018-11"
2019-09-30,295,"Polk County","WI",,990,173000,0.00815850815850816,0.0285374554102259,-0.00173110213502597,0.0560684435480678,0.0284354814169825,"2018-08","2018-Q3",173700,-0.00402993667242372,"2018-08"
2019-09-30,1681,"Douglas County","WI","Duluth",991,140000,0.00647016534867002,0.0286554004408523,0.077752117013087,0.0441521503335169,0.0226565278893918,"2019-09","2019-Q3",140000,0,"2019-09"
2019-09-30,3089,"Cerro Gordo County","IA","Mason City",992,115200,0.00611353711790393,0.0276538804638715,0.111969111969112,0.0371372893366482,0.0266014556387406,"2019-09","2019-Q3",115200,0,"2019-09"
2019-09-30,909,"Camden County","MO",,993,225900,0.00266311584553928,0.0203252032520325,0.0272851296043656,0.0552979340095729,0.0454776834820514,"2019-09","2019-Q3",225900,0,"2019-09"
2019-09-30,1754,"Hancock County","MS","Gulfport-Biloxi-Pascagoula",994,151300,0.00866666666666667,0.0174848688634835,-0.0175324675324675,0.0405991062954223,0.00750493482925618,"2010-08","2010-Q3",161100,-0.0608317815021726,"2009-12"
2019-09-30,152,"Dunn County","WI","Menomonie",995,170900,0.00825958702064897,0.0215182307232516,0.0721455457967378,0.0652334710229545,0.0304592823413496,"2019-09","2019-Q3",170900,0,"2019-09"
2019-09-30,974,"Dallas County","AL","Selma",996,50800,-0.00587084148727984,-0.0116731517509728,0.0099403578528827,0.016972867732991,-0.00479247691790419,"2009-01","2009-Q1",61500,-0.173983739837398,
2019-09-30,3036,"Sweetwater County","WY","Rock Springs",997,226800,0.0143112701252236,0.0360895386021014,0.0170403587443946,0.038017525944199,0.0290650776297978,"2019-09","2019-Q3",226800,0,"2019-09"
2019-09-30,2566,"Sullivan County","NH","Claremont-Lebanon",998,192600,0.00890518596123625,0.0228359001593202,0.057660626029654,0.0438571100093894,0.0145467600694051,"2006-06","2006-Q2",193400,-0.00413650465356774,"2006-03"
2019-09-30,1614,"Chilton County","AL","Birmingham-Hoover",999,122800,0.00490998363338789,0.0319327731092437,0.0459965928449745,0.0384258311069556,0.022087604633525,"2019-09","2019-Q3",122800,0,"2019-09"
2019-09-30,2343,"Highland County","OH",,1000,105500,0.00860420650095602,0.023278370514064,0.0798362333674514,0.0481351407789112,0.0237847140775795,"2019-09","2019-Q3",105500,0,"2019-09"
2019-09-30,2042,"Stevens County","WA","Spokane-Spokane Valley",1001,202600,0.0054590570719603,0.013,0.154415954415954,0.101578371953457,0.0487243964207009,"2019-09","2019-Q3",202600,0,"2019-09"
2019-09-30,3288,"Charlottesville City","VA","Charlottesville",1002,299200,0.00706832716257152,0.021160409556314,0.0531502991904259,0.0486001542057086,0.0257637811497267,"2019-09","2019-Q3",299200,0,"2019-09"
2019-09-30,1205,"Miller County","AR","Texarkana",1003,113600,0.0115761353517364,0.0355515041020966,0.0666666666666667,0.0548041158687456,0.0288243196104112,"2019-09","2019-Q3",113600,0,"2019-09"
2019-09-30,1185,"McKean County","PA","Bradford",1004,66500,0.00605143721633888,0.021505376344086,0.0919540229885057,0.0387039691235873,0.0217994993630253,"2019-09","2019-Q3",66500,0,"2019-09"
2019-09-30,1254,"Nelson County","KY","Bardstown",1005,162800,0.00804953560371517,0.0258349086326402,0.0456005138086063,0.077289206777083,0.0379254341122406,"2019-09","2019-Q3",162800,0,"2019-09"
2019-09-30,1910,"Madison County","OH","Columbus",1006,165100,0.00793650793650794,0.0241935483870968,0.0596919127086008,0.0613321511898994,0.0293732074896063,"2019-09","2019-Q3",165100,0,"2019-09"
